"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Regulile de pret din cosul de cumparaturi bazate pe atributul ""%s"" au fost dezactivate."
%s Coupon(s) have been generated,%s Cupoane au fost generate
Actions,Actiuni
Unable to create requested Coupon Qty. Please check settings and try again.,"Cantitatea solicitata a cuponului nu poate fi creata. Va rugam, verificati setarile si incercati din nou."
Unable to find a rule to delete.,Nu s-a gasit o regula de sters.
Update prices using the following information,Actualizeaza preturile folosind urmatoarele informatii
Update product's %s %s: %s,Actualizeaza info produs %s %s: %s
Update the Product,Actualizeaza produsul
Use Auto Generation,Foloseste generare automata
Used,Folosit
Uses per Coupon,Utilizari per cupon
Uses per Customer,Utilizari per client
Website,Site
Websites,Site-uri
Wrong rule specified.,Regula specificata incorecta.
Yes,Da
total amount,suma total
total quantity,cantitate total
Apply to,Aplica la
By Percentage of the original price,Prin procentaj din pretul original
Checkout Price Rule,Regula pret Finalizare
Customer registered: %s,Client inregistrat: %s
Coupon code,Cod cupon
Conditions Combination,Combinatie conditii
Start at: %s,Incepe la: %s
Description: %s,Descriere: %s
By Fixed Amount,Dupa suma fixa
Customer is new buyer: %s,Clientul este cumparator nou: %s
Expire at: %s,Expira la: %s
To Percentage of the original price,La procentaj din pretul original
To Fixed Amount,La suma fixa
Maximum Qty Discount is Applied to,Reducerea maxima la cantitate se aplica la
Unable to find a page to delete,Nu s-a gasit o pagina de sters
Name: %s,Nume: %s
Stop further rules processing,Opreste procesarea ulterioara a regulilor
The page you are trying to save no longer exists,Pagina pe care incercati sa o salvati nu mai exista
Special price,Pret special
This rule no longer exists,Aceasta regula nu mai exista
Rule was successfully saved,Regula a fost salvata cu succes.
Rule was successfully deleted,Regula a fost stearsa cu succes.
Save Rule,Salveaza regula
Delete Rule,Sterge regula
Discount amount,Suma reducere
Invalid discount amount.,Suma reducere nevalida.
Free shipping,Livrare gratuita
Uses per customer,Utilizari per client
Uses per coupon,Utilizari per cupon
"Usage limit enforced for logged in customers only","Limita de utilizare doar pentru clientii autentificati"
