%value%' appears to be a DNS hostname but cannot extract TLD part,'%value%' pare a fi  un domeniu dar nu se poate extrage partea TLD
%value%' appears to be a DNS hostname but cannot match TLD against known list,"'%value%' pare a fi un domeniu, dar TLD-ul nu corespunde cu lista cunoscuta"
%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%',"'%value%' pare a fi un domeniu, dar schema pentru TLD '%tld%' nu corespunde cu hostname-ul"
%value%' appears to be a DNS hostname but contains a dash in an invalid position,"'%value%' pare a fi un domeniu, dar contine o linie de despartire intr-o pozitie nevalida"
%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded,"'%value%' pare a fi un domeniu, dar notatia punycode data nu poate fi decodata"
%value%' appears to be a local network name but local network names are not allowed,'%value%' apare ca fiind un nume de retea locala dar numele de retea locala nu sunt permise
"%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' apare ca fiind o adresa IP, dar adresele IP nu sunt permise"
%value%' does not appear to be a valid local network name,'%value%' nu apare ca fiind un nume de retea locala valid
* Required Fields,* campuri obligatorii
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","In urma inregistrarii pe acest site vei beneficia de avantajele oferite de noi: vei putea cumpara mai repede, iti vei putea adauga adrese multiple in agenda, vei putea urmari starea comenzilor, vei putea vedea comenzile mai vechi si multe altele."
CSV,CSV
Cancel,Anuleaza
Cannot save a new password.,Parola noua nu poate fi salvata.
Cannot save address.,Adresa nu poate fi salvata.
Cannot save the customer.,Clientul nu poate fi salvat.
Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.,"Conturile de client nu pot fi impartite la nivel global, deoarece unele conturi de client cu aceleasi e-mail-uri exista pe mai multe site-uri si nu pot fi fuzionate."
Change Account Password,Schimba parola contului
Change Billing Address,Schimba adresa de facturare
Change Password,Schimba parola
Change Shipping Address,Schimba adresa de livrare
City,Oras
Company,Firma
Config,Configuratie
Configure,Configurare
Confirm New Password,Confirma parola noua
Confirm Password,Confirma parola
Confirmation Link Email,Confirma link e-mail
Confirmed,Confirmat
Contact Information,Informatii de contact
Continue Shopping,Continua cumparaturile
Country,Tara
Create,Creaza
Create New Account Options,Optiuni creare cont nou
Create New Customer Account,Creaza un cont de client nou
Create Order,Creaza comanda
Create an Account,Creaza un cont
Create customer,Creaza client
Create customer address,Creaza adresa client
Current Password,Parola actuala
Customer,Client
Customer API,API Client
Customer Account Edit Form,Formular editare cont client
Customer Account Login Form,Formular logare cont client
Customer Account Logout Success,Succes delogare cont client
Customer Account Registration Form,Formular de inregistrare cont client
Customer Addresses,Adrese client
Customer Configuration,Configuratie client
Customer Forgot Password Form,Formular Parola Uitata client
Customer Group,Grup clienti
Customer Groups,Grupuri clienti
Customer Information,Informatii client
Customer Login,Logare client
Customer My Account (All Pages),Contul Meu client (Toate paginile)
Customer My Account Address Book,Agenda Contul Meu client
Customer My Account Address Edit Form,Formular editare adresa Contul Meu client
Customer My Account Dashboard,Panou de control Contul Meu client
Customer Since,Client din
Customer View,Vizualizare client
Customer collection expected.,Se asteapta colectie clienti .
Customer email is required,E-mail-ul clientului este necesar
Customer website ID must be specified when using the website scope,ID-ul clientului de pe site trebuie specificat la folosirea ariei site-ului
"Customer will stay on the current page if ""No"" is selected.","Clientul va ramane pe pagina curenta daca ""Nu""este selectat."
Customers,Clienti
Customers Only,Doar clientii
Customers Section,Sectiune clienti
DD,ZZ
Date,Data
Date Added,Adaugat la data
Date of Birth,Data de nastere
Day,Zi
Days in Wishlist,Zile la Favorite
Default Addresses,Adrese standard
Default Billing Address,Adrese standard de facturare
Default Email Domain,Domeniu de e-mail standard
Default Group,Grup standard
Default Shipping Address,Adresa standard de livrare
Default Value for Disable Automatic Group Changes Based on VAT ID,Valoarea standard pentru dezactivarea schimbarilor de grup automate conform cu ID TVA
Default Welcome Email,"E-mail de ""Bun Venit"" standard"
Delete,Sterge
Delete Address,Sterge adresa
Delete Customer,Sterge client
Delete Customer Group,Sterge grup clienti
Delete customer,Sterge client
Delete customer address,Sterge adresa client
Deleted Stores,Sterge magazine
Details,Detalii
Disabled,Dezactiveaza
Edit,Editeaza
Edit Account Info,Editeaza Info cont
Edit Account Information,Editeaza informatiile contului
Edit Address,Editeaza adresa
Edit Address Entry,Editeaza intrarea in adresa
"Edit Customer Group ""%s""","Editeaza grup clienti ""%s"""
Edit Customer Groups,Editeaza grupurile de clienti
Edit Customer's Address,Editeaza adresa clientului
Edit Group,Editeaza grup
Edit Newsletters,Editeaza Newsletter
Email,E-mail
Email Address,Adresa de e-mail
Email Sender,Expeditor e-mail
Email:,E-mail:
Enable Automatic Assignment to Customer Group,Activeaza Aloca Automat la Grup Clienti
Entity collection is expected.,Se asteapta o colectie de entitati.
Excel XML,XML Excel
Failed to confirm customer account.,Confirmare cont client esuata.
Fax,Fax
First Name,Prenume
Forgot Email Template,Sablon e-mail uitat
Forgot Password,Am uitat parola
Forgot Your Password,Ai uitat parola
Forgot Your Password?,Ai uitat parola?
Forgot and Remind Email Sender,Uitare si reamintire expeditor email 
Form Fields Before,Campuri formulare dinainte
From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.,In Panoul de Control din Contul Meu aveti posibilitatea de a vizualiza instant activitatile recente ale contului dumneavoastra si de a va actualiza informatiile de cont. Selectati link-ul de mai jos pentru a vizualiza sau edita informatiile .
Gender,Sex
Gender is required.,Genul este necesar.
General Subscription,Abonare generala
Generate Human-Friendly Customer ID,Genereaza ID client usor de memorat
Global,Global
Grand Total,Total
Group,Grup
Group Information,Informatii grup
Group Name,Nume grup
Group for Invalid VAT ID,Grup pentru ID TVA invalid
Group for Valid VAT ID - Domestic,Grup pentru ID TVA valid- Domestic
Group for Valid VAT ID - Intra-Union,Grup pentru ID TVA valid- Intra-Union
Guest,Vizitator
HTML,HTML
"Hello, %s!","Salut, %s!"
ID,ID
IP Address,Adresa IP
If there is an account associated with %s you will receive an email with a link to reset your password.,Daca exista un cont asociat cu %s veti primi un e-mail cu link-ul pentru resetarea parolei dumneavoastra.
"If you are a registered VAT customer, please click <a href=""%s"">here</a> to enter you billing address for proper VAT calculation","Daca sunteti un client cu IDTVA inregistrat, va rugam, click <a href=""%s"">aici</a> pentru a introduce adresa de facturare pentru o calculare VAT adecvata"
"If you are a registered VAT customer, please click <a href=""%s"">here</a> to enter you shipping address for proper VAT calculation","Daca sunteti un client cu ID TVA inregistrat, va rugam, click <a href=""%s"">aici</a> pentru a introduce adresa de facturare pentru o calculare VAT adecvata"
"If you believe this is an error, please contact us at %s","Daca credeti ca este o eroare, va rugam, contactati-ne la %s"
"If you have an account with us, please log in.","Daca sunteti deja inregistrat, va rugam sa va autentificati."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Optiune atribut nevalida specificata pentru atributul %s (%s), se omite inregistrarea."
"Invalid attribute set specified, skipping the record.","Set atribute nevalid specificat, se omite inregistrarea."
Invalid billing address for (%s),Adresa facturare nevalida pentru (%s)
Invalid current password,Parola actuala nu este valida
Invalid customer data,Date client nevalide
"Invalid email address ""%s"".","Adresa e-mail nevalida ""%s""."
Invalid email address.,Adresa e-mail nevalida.
Invalid login or password.,Parola logare nevalida.
Invalid password reset token.,Jeton de resetare parola nevalida.
Invalid shipping address for (%s),Adresa livrare nevalida pentru (%s)
"Invalid store specified, skipping the record.","Magazin nevalid specificat, se omite inregistrarea."
"Invalid website, skipping the record, line: %s","Site nevalid, se omite inregistrarea, rand: %s"
Last Activity,Ultima activitate
Last Date Subscribed,Utima data abonat
Last Date Unsubscribed,Ultima data dezabonat
Last Name,Nume
Last URL,Ultimul URL
Leave empty for default (15 minutes).,Lasati gol pentru standard (15 minute).
Leave empty for default (2). Valid range: 1-4, Lasati gol pentru standard(2). Interval nevalid: 1-4
Lifetime Sales,Vanzari perioada de activitate
Log In,Logare
Log Out,Delogare
Login,Autentificare
Login Information,Informatii autentificare
Login Options,Optiuni autentificare
Login and password are required.,Utilizatorul si parola sunt necesare.
Login or Create an Account,Autentifica-te sau Creaza un cont
MM,LL
Manage Addresses,Administreaza adresele
Manage Customers,Administreaza clientii
Maximum length must be less then %s symbols,Lungimea maxima trebuie sa fie mai mica de %s simboluri
"Missing email, skipping the record, line: %s","E-mail lipsa, se omite inregistrarea, rand: %s"
"Missing email, skipping the record.","E-mail lipsa, se omite inregistrarea."
"Missing first name, skipping the record, line: %s","Prenume lipsa, se omite inregistrarea, rand: %s"
"Missing firstname, skipping the record.","Prenume lipsa, se omite inregistrarea."
"Missing last name, skipping the record, line: %s","Nume lipsa, se omite inregistrarea, rand: %s"
"Missing lastname, skipping the record.","Nume lipsa, se omite inregistrarea."
"Missing website, skipping the record, line: %s","Site lipsa, se omite inregistrarea, rand: %s"
Month,Luna
My Account,Contul meu
My Account Wrapper,Wrapper Contul Meu
My Dashboard,Panou de Control
My Orders,Comenzile mele
Name,Nume
Name and Address Options,Optiuni Nume si Adresa
Never,Niciodata
New Address,Adresa Noua
New Address Entry,Intrare Noua Adresa
New Customer,Client Nou
New Customer Address,Adresa Noua client
New Customer Group,Grup clienti Nou
New Customer Groups,Grupuri clienti Noi
New Customers,Clienti Noi
New Group,Grup Nou
New Password,Parola Noua
New account,Cont Nou
New account confirmation key,Cod confirmare cont nou
New account confirmed,Cont nou confirmat
New password field cannot be empty.,Campul noii parole nu poate fi lasat gol.
Newsletter,Newsletter
Newsletter Finish,Final newsletter
Newsletter Information,Informatii newsletter
Newsletter Received,Newsletter primit
Newsletter Start,Inceput newsletter
Newsletter Subscription,Abonare newsletter
Newsletters,Newsletter
No Items Found,Nici un articol gasit
No Newsletter Found,Nici un newsletter gasit
No customer collections found,Nici o colectie clienti gasita
No item specified.,Nici un articol specificat.
Not Sent,Netrimis
"Not confirmed, can login","Neconfirmat, va puteti loga"
"Not confirmed, cannot login","Neconfirmat, nu va puteti loga"
Number of Lines in a Street Address ,Numar de randuri la Adresa Strada 
Offline,Offline
Online,Online
Online Customers,Clienti online
Online Customers Options,Optiuni clienti online
Online Minutes Interval,Interval minute online
Order #,Comanda #
Order Total,Total comanda
Orders,Comenzi
PDF,PDF
Password,Parola
Password Management,Administrare parola
Password Options,Optiuni parola
Password forgotten,Parola uitata
Password:,Parola:
Paused,In stand-by
Pending,in asteptare
Per Website,Per Site
Personal Information,Informatii personale
Please enter a number 1 or greater in this field.,"Va rugam, introduceti un numar egal sau mai mare decat 1."
Please enter a valid date between %s and %s at %s.,"Va rugam, introduceti o data valida intre %s si %s la %s."
Please enter a valid date equal to or greater than %s at %s.,"Va rugam, introduceti o data valida egala sau mai mare de %s la %s."
Please enter a valid date less than or equal to %s at %s.,"Va rugam, introduceti o data valida mai mica sau egala cu  %s la %s."
Please enter the city.,"Va rugam, specificati orasul."
Please enter the country.,"Va rugam, specificati tara."
Please enter the first name.,"Va rugam, introduceti prenumele."
Please enter the last name.,"Va rugam, introduceti numele."
Please enter the state/province.,"Va rugam, introduceti judetul."
Please enter the street.,"Va rugam, introduceti strada."
Please enter the telephone number.,"Va rugam, introduceti numarul de telefon."
Please enter the zip/postal code.,"Va rugam, introduceti codul postal."
Please enter your email address below. You will receive a link to reset your password.,"Va rugam, introduceti adresa de e-mail mai jos. Veti primi un link pentru resetarea parolei."
Please enter your email below and we\'ll send you confirmation link for it.,"Va rugam, introduceti adresa de e-mail mai jos si va vom trimite link-ul de confirmare pentru acesta."
Please enter your email.,Introduceti adresa de e-mail.
Please make sure your passwords match.,"Va rugam, asigurati-va ca parolele coincid."
Please select,"Va rugam, selectati"
Please select a website which contains store view,"Va rugam, selectati un site care contine o vitrina"
"Please select region, state or province","Va rugam, selectati judetul"
"Please, check your email for confirmation key.","Va rugam, verificati-va e-mail-ul pentru codul de confirmare."
Prefix Dropdown Options,Optiuni Dropdown Prefix
Price,Pret
Product,Produs
Product ID,ID produs
Product Name,Nume produs
Product Reviews,Recenzii produs
Product Tags,Etichete produs
Purchase On,Cumparat la
Purchased At,Cumparat la
Qty,Cant.
Recent Orders,Comenzi recente
Records for %s store found.,Inregistrari gasite pentru magazinul %s .
Recovery Link Expiration Period (days),Perioada expirare link recuperare (zile)
Redirect Customer to Account Dashboard after Logging in,Redirectioneaza client la Panoul de Control al Contului dupa logare
Refunded,Rambursat
Registered Customers,Client inregistrati
Remind Email Template,Sablon e-mail reamintire
Remind Password,Reaminteste parola
Remove,Sterge
Require Emails Confirmation,Solicita confirmare e-mail
Reset a Password,Reseteaza o parola
Retrieve address data,Recuperare date adresa
Retrieve address info,Recuperare informatii adresa
Retrieve customer addresses,Recuperare adrese client
Retrieve customer data,Recuperare date client
Retrieve customer groups,Recuperare grupuri clienti
Retrieve customer info,Recuperare informatii client
Retrieve customers,Recuperare clienti
Retrieve your confirmation link here,Recuperare link-ul de confirmare aici
Retrieve your password here,Recuperare parola aici
SKU,Cod produs
Sales Statistics,Statistici vanzari
Save,Salveaza
Save Address,Salveaza adresa
Save Customer,Salveaza client
Save Customer Group,Salveaza grup clienti
Save Password,Salveaza parola
Save and Continue Edit,Salveaza si continua editarea
Saved %d record(s),S-au salvat %d inregistrari
Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.,"Semicoloana (;) valori separate. ,<br/>Pune semicoloana la inceput daca prima optiune este nespecificata"
Send From,Send From
Send Welcome Email,"Trimite e-mail de ""Bun Venit"
Send Welcome Email after Confirmation,"Trimite e-mail de ""Bun Venit"" dupa confirmare"
Send auto-generated password,Trimite parola auto-generata
Send confirmation link,Trimite link confirmare
Sending,Se trimite
Sent,Trimis
Session Start Time,Timp incepere sesiune
Set as Default Billing Address,Seteaza ca adresa standard de facturare
Set as Default Shipping Address,Seteaza ca adresa standard de livrare
Share Customer Accounts,Partajeaza conturi clienti
Shipped to First Name,Livrat la Prenumele
Shipped to Last Name,Livrat la Numele
Shipped to Name,Livrat la Numele
Shopping Cart,Cos de cumparaturi
Shopping Cart - %d item(s),Cos - %d articol(e)
Shopping Cart of %1$s - %2$d item(s),Cos de %1$s - %2$d articole
Show Date of Birth,Arata data nasterii
Show Gender,Arata sexul
Show Middle Name (initial),Arata al doilea prenume (initial)
Show Prefix,Arata prefix
Show Suffix,Arata sufix
Show Tax/VAT Number,Arata numar Taxa/ TVA
Show VAT Number on Frontend,Arata numat TVA pe Frontend
Sign Up for Newsletter,Inscrie-te la newsletter
"Skipping import row, required field ""%s"" is not defined.","Se omite randul importat, campul necesar ""%s"" nu este definit."
"Skipping import row, website ""%s"" field does not exist.","Se omite rand importat, campul site-ului ""%s"" nu exista."
State/Province,Judet
Status,Stare
Store,Magazin
Store View,Vitrina
Street Address,"Strada, nr, bloc, scara, etaj, apartament"
Street Address %s,"Strada, nr, bloc, scara, etaj, apartament %s"
Subject,Subiect
Submit,Trimite
Subscribe to Newsletter,Aboneaza-te la Newsletter
Subscribed to Newsletter?,Abonat la Newsletter?
Suffix Dropdown Options,Optiune Dropdown sufix
Tag Name,Nume eticheta
Tax Calculation Based On,Calculare taxa bazata pe
Tax Class,Clasa taxa
Tax/VAT number,Numar platitor Taxa/TVA
Telephone,Telefon
Text,Text
Text One Line,Text One Line
Thank you for registering with %s.,Va multimin pentru inregistrarea pe %s.
The Date of Birth is required.,Data de nastere este necesara.
The TAX/VAT number is required.,Numarul Taxa/TVA este necesar.
The VAT ID entered (%s) is not a valid VAT ID.,ID-ul TVA introdus (%s) nu este un ID TVA valid.
The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.,ID-ul TVA introdus (%s) nu este un ID VAT valid. Clientul ar apartine Grupului de Clienti %s.
The VAT ID is valid. The current Customer Group will be used.,ID-ul TVA nu este valid. Grupul de Clienti curent va fi folosit.
The account information has been saved.,Informatiile contului au fost salvate.
The address does not belong to this customer.,Adresa nu apartine acestui client.
The address has been deleted.,Adresa a fost stearsa.
The address has been saved.,Adresa a fost salvata.
"The customer ID and email did not match, skipping the record, line: %s","ID-ul si e-mail-ul clientului nu coincid, se omite inregistrarea, rand: %s"
The customer does not have default billing address.,Clientul nu detine o adresa de facturare standard.
"The customer email (%s) already exists, skipping the record, line: %s","E-mail client (%s) deja exista, se omite inregistrarea, rand: %s"
The customer group has been deleted.,Grupul de clienti a fost sters.
The customer group has been saved.,Grupul de clienti a fost salvat.
The customer is currently assigned to Customer Group %s.,Clientul este momentan alocat Grupului de Clienti %s.
The first name cannot be empty.,Campul prenumelui nu poate fi lasat gol.
"The group ""%s"" cannot be deleted","Grupul ""%s""nu poate fi sters"
The last name cannot be empty.,Campul numelui nu poate fi lasat gol.
The minimum password length is %s,Lungimea minima a parolei este de%s
The password cannot be empty.,Campul parolei nu poate fi lasat gol.
The password must have at least 6 characters. Leading or trailing spaces will be ignored.,Parola trebuie sa contina cel putin 6 caractere. Spatiile de la inceput si sfarsit vor fi ignorate
"The suffix that goes after name (Jr., Sr., etc.)","Sufixul urmeaza numele (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","Titlul care preceda numele (Dl., Dna., etc.)"
There are no items in customer's wishlist at the moment,Lista de favorite a clientului este goala momentan
There are no items in customer\'s shopping cart at the moment,Nu exista articole in cosul clientului momentan
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Exista deja un cont cu aceasta adresa de e-mail. Daca sunteti sigur ca este adresa dumneavoastra de e-mail, <a href=""%s"">click aici</a> pentru a obtine parola si a va accesa contul."
There was an error validating the VAT ID.,Eroare de validare ID TVA.
There was an error validating the VAT ID. The customer would belong to Customer Group %s.,Eroare de validare ID TVA. Clientul ar apartine Grupului de Clienti %s.
This account is not confirmed.,Acest cont nu este confirmat.
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Acest cont nu este confirmat. <a href=""%s"">Click aici</a> pentru a retrimite e-mail-ul de confirmare."
This customer email already exists,Acest e-mail de client deja exista
This customer has no saved addresses.,Acest client nu are adrese salvate.
This email does not require confirmation.,Acest e-mail nu necesita confirmare.
"This email will be sent instead of default welcome email, after account confirmation.","Acest e-mail va fi trimis in locul e-mail-ului de ""Bun Venit"" standard, dupa confirmarea contului."
This is My Default %s Address,Acesta este adresa mea %s standard
To Cart,La Cos
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","Pentru a arata numarul TVA pe frontend, setati Da la optiunea Arata Numar TVA pe Frontend."
Total,Total
Type,Tip
Unknown,Necunoscut
Unsubscribe from Newsletter,Dezaboneaza-te de la Newsletter
Update,Actualizeaza
Update customer address data,Actualizeaza date adresa client
Update customer data,Actualizeaza date client
Use as My Default %s Address,Foloseste ca Adresa  %s standard
Use as My Default Billing Address,Foloseste ca Adresa de Facturare Standard
Use as My Default Shipping Address,Foloseste ca Adresa de Livrare Standard
Use as my default billing address,Foloseste ca Adresa de Facturare Standard
Use as my default shipping address,Foloseste ca Adresa de Livrare Standard
VAT Number,Numar TVA
VAT Request Date,Data solicitare TVA 
VAT Request Identifier,Identificator solicitare TVA
Validate VAT Number,Validare numar TVA
Validate on Each Transaction,Valideaza la fiecare tranzactie
Validation Error Group,Eroare validare grup
View,Vizualizeaza
View Order,Vizualizeaza comanda
Visitor,Vizitator
Visitors Only,Numai vizitatori
Website,Site
Welcome Email,E-mail de Bun Venit
Wishlist,Favorite
Wishlist - %d item(s),Favorite - %d articol(e)
Would you like to change the Customer Group for this order?,Ati dori sa schimbati Grupul de Clienti pentru aceasta comanda?
Wrong confirmation key.,Cod confirmare incorect.
Wrong customer account specified.,Cont client incorect specificat.
Wrong email.,E-mail incorect.
Wrong transactional account email type,Tip e-mail cont tranzactional incorect
YYYY,AAAA
Year,An
You are currently not subscribed to any newsletter.,Momentan nu esti abonat la nici un newsletter.
You are currently not subscribed to our newsletter.,Momentan nu esti abonat la newsletter-ul nostru.
You are currently subscribed to 'General Subscription'.,Momentan esti abonat la 'Abonare Generala'.
You are currently subscribed to our newsletter.,Momentan esti abonat la newsletter-ul nostru.
You are now logged out,Sunteti delogat
You have logged out and will be redirected to our homepage in 5 seconds.,V-ati delogat si veti fi redirectionat catre pagina principala in 5 secunde.
You have no additional address entries in your address book.,Nu aveti intrari suplimentare de adrese in agenda.
You have no additional entries in your address book.,Nu aveti intrari suplimentare in agenda.
You have no default billing address in your address book.,Nu aveti o adresa de facturare standard in agenda.
You have no default entries in your address book.,Nu aveti intrari standard in agenda.
You have no default shipping address in your address book.,Nu aveti o adresa de livrare standard in agenda.
You have not set a default billing address.,Nu ati setat o adresa de facturare standard.
You have not set a default shipping address.,Nu ati setat o adresa de livrare standard.
You have placed no orders yet.,Nu ati plasat inca nicio comanda.
You have placed no products yet.,Nu ati adaugat inca niciun produs .
You will be charged tax.,Veti fi taxat.
You will not be charged tax.,Nu veti fi taxat.
Your Tax ID cannot be validated.,ID-ul dumneavoastra de taxa nu poate fi validat.
Your VAT ID was successfully validated.,ID-ul dumneavoastra TVA a fost validat cu succes.
Your account balance is: %s,Soldul contului este: %s
Your password has been updated.,Parola dumneavoastra a fost actualizata.
Your password reset link has expired.,Link-ul de resetare a parolei a expirat.
ZIP,ZIP
ZIP/Post Code,Cod postal
Zip/Postal Code,Cod postal
n/a,n/a
or,sau
Subscribe,Aboneaza-te
Subscribe to newsletter,Aboneaza-te la newsletter
Sign up for our newsletter,Aboneaza-te la newsletter-ul nostru
The address does not belong to this customer,Adresa nu apartine acestui client.
This is My Primary %s Address,Aceasta este adresa mea principala %s
Street Address 2,Adresa Strada 2
The address was successfully saved,Adresa a fost salvata cu succes.
The address was successfully deleted,Adresa a fost stearsa cu succes.
Invalid email address,Adresa de e-mail nevalida
This email address was not found in our records,Aceasta adresa de e-mail nu a fost gasita in baza noastra de date.
Primary Billing Address,Adresa principala de facturare
Primary Shipping Address,Adresa principala de livrare
You're now Logged Out,Sunteti delogat.
You have been successfully logged out and will be redirected to our homepage in 5 seconds.,V-ati delogat si veti fi redirectionat spre pagina principala in 5 secunde.
Assign a customer group,Aloca un grup de clienti
Array of Entity collections is expected,Se asteapta un array de colectii de entitati
Tax class,Clasa de taxare
Customer doesn't have primary billing address,Clientul nu are adresa principala de facturare
ZIP/Postal Code,Cod postal
Wrong region id by selected country,Codul este gresit pentru tara selectata
Order #%s (%s),Comanda #%s (%s)
There are no items in customer's shopping cart at the moment,Nu exista articole in cosul clientului momentan
Purchased at,Cumparat la
User description,Descriere utilizator
Unsubscribe from newsletter,Dezaboneaza-te de la newsletter
Error during retrieval of option value: %s,Eroare la recuperarea valorii optiunii: %s
There was an error while deleting the address,A aparut o eroare in timpul stergerii adresei.
Can't save address,Adresa nu poate fi salvata.
Can't save customer,Clientul nu poate fi salvat
Login and password are required,Utilizatorul si parola sunt necesare
You are currently subscribed to our newsletter,Momentan esti abonat la newsletter-ul nostru.
Are you sure the you want to remove this item?,Sinteti sigur ca doriti sa stergeti acest articol?
My Tags,Etichetele mele
Customer email already exists,Adresa de email a clientului deja exista
Forgot Email Sender,Expeditor uitare e-mail
Use as My Primary %s Address,Foloseste ca adresa mea %s principala  
Customer Group was successfully saved,Grup clienti salvat cu succes.
Customer Group was successfully deleted,Grup clienti sters cu succes.
"Group ""%s"" can not be deleted","Grupul ""%s"" nu poate fi sters"
Billing Information,Informatii facturare
Shipping Information,Informatii livrare
Account information was successfully saved,Informatiile de cont au fost salvate cu succes.
Records for,Inregistrari pentru 
"Invalid attribute option specified for attribute %s (%s), skipping the record","Optiune atribut nevalida specificata pentru atributul %s (%s), se omite inregistrarea"
"Invalid attribute set specified, skipping the record","Set atribute nevalid specificat, se omite inregistrarea"
"Invalid option id specified for %s (%s), skipping the record","ID optiune nevalida pentru %s (%s), se omite inregistrarea"
"Invalid store specified, skipping the record","Magazin nevalid specificat, se omite inregistrarea"
Items Order,Articole Comanda
Thank you for registering with %s,Va multumim pentru inregistrarea pe %s
Customer collection expected,Se asteapta o colectie clienti
Entity collection is expected,Se asteapta o colectie de entitati
Order List...,Lista comenzi...
My Wishlist,Articole Favorite
Ship to Last name,Livreaza la Numele
Ship to First name,Livreaza la Prenumele
Go to Address Book,Mergi la Agenda
Payment Method,Metoda de plata
Shipping Method,Metoda livrare
"Missing email, skipping the record","E-mail lipsa, se omite inregistrarea"
"Missing firstname, skipping the record","Prenume lipsa, se omite inregistrarea"
"Missing lastname, skipping the record","Nume lipsa, se omite inregistrarea"
Edit Newsletter Subscription,Editeaza abonamentul la newsletter
